UF,municipio,idhm,idhm_educacao,idhm_longevidade,idhm_renda,classe
Rio Grande do Sul,TRÊS PASSOS,0.768,0.71,0.858,0.745,Médio Desenvolvimento Humano
Rio Grande do Sul,TRINDADE DO SUL,0.687,0.61,0.787,0.675,Médio Desenvolvimento Humano
Rio Grande do Sul,TRIUNFO,0.733,0.629,0.873,0.717,Médio Desenvolvimento Humano
Rio Grande do Sul,TUCUNDUVA,0.747,0.682,0.816,0.748,Médio Desenvolvimento Humano
Rio Grande do Sul,TUNAS,0.657,0.541,0.794,0.659,Médio Desenvolvimento Humano
Rio Grande do Sul,TUPANCI DO SUL,0.694,0.595,0.818,0.688,Médio Desenvolvimento Humano
Rio Grande do Sul,TUPANCIRETÃ,0.709,0.596,0.828,0.721,Médio Desenvolvimento Humano
Rio Grande do Sul,TUPANDI,0.718,0.597,0.836,0.742,Médio Desenvolvimento Humano
Rio Grande do Sul,TUPARENDI,0.728,0.632,0.832,0.734,Médio Desenvolvimento Humano
Rio Grande do Sul,TURUÇU,0.629,0.446,0.814,0.685,Médio Desenvolvimento Humano
Rio Grande do Sul,UBIRETAMA,0.7,0.613,0.809,0.691,Médio Desenvolvimento Humano
Rio Grande do Sul,UNIÃO DA SERRA,0.733,0.587,0.852,0.786,Médio Desenvolvimento Humano
Rio Grande do Sul,UNISTALDA,0.649,0.542,0.804,0.626,Médio Desenvolvimento Humano
Rio Grande do Sul,URUGUAIANA,0.744,0.661,0.863,0.722,Médio Desenvolvimento Humano
Rio Grande do Sul,VACARIA,0.721,0.605,0.838,0.74,Médio Desenvolvimento Humano
Rio Grande do Sul,VALE VERDE,0.646,0.497,0.816,0.666,Médio Desenvolvimento Humano
Rio Grande do Sul,VALE DO SOL,0.624,0.439,0.813,0.681,Médio Desenvolvimento Humano
Rio Grande do Sul,VALE REAL,0.737,0.636,0.85,0.739,Médio Desenvolvimento Humano
Rio Grande do Sul,VANINI,0.757,0.704,0.836,0.736,Médio Desenvolvimento Humano
Rio Grande do Sul,VENÂNCIO AIRES,0.712,0.6,0.818,0.736,Médio Desenvolvimento Humano
Rio Grande do Sul,VERA CRUZ,0.737,0.643,0.842,0.738,Médio Desenvolvimento Humano
Rio Grande do Sul,VERANÓPOLIS,0.773,0.692,0.838,0.797,Médio Desenvolvimento Humano
Rio Grande do Sul,VESPASIANO CORREA,0.723,0.584,0.855,0.758,Médio Desenvolvimento Humano
Rio Grande do Sul,VIADUTOS,0.702,0.561,0.864,0.715,Médio Desenvolvimento Humano
